politician,district,median_income,unearned_no_rent,unearned_with_rent
Deb Fischer (R),NES1,52400,0,0
Ben Sasse (R),NES2,52400,4816,19817
Frank Guinta (R),NH01,66806,12,15013
Ann Mclane Kuster (D),NH02,64969,0,0
Kelly Ayotte (R),NHS1,65986,1469498,1474499
Jeanne Shaheen (D),NHS2,65986,38202,129208
Don Norcross (D),NJ01,64382,6930,6930
Frank A LoBiondo (R),NJ02,58612,5,10007
Thomas MacArthur (R),NJ03,74116,2998430,2998430
Chris Smith (R),NJ04,75786,368,368
Scott Garrett (R),NJ05,91505,609,609
Frank Pallone Jr (D),NJ06,77037,63226,63226
Leonard Lance (R),NJ07,102506,54051,54051
Albio Sires (D),NJ08,53704,1403,1403
Bill Pascrell Jr (D),NJ09,60261,84742,84742
Donald M Payne Jr (D),NJ10,47916,204,204
Rodney Frelinghuysen (R),NJ11,100344,668557,668557
Bonnie Coleman (D),NJ15,NULL,0,0
Robert Menendez (D),NJS1,72062,0,15001
Cory Booker (D),NJS2,72062,44410,44410
Michelle Lujan Grisham (D),NM01,47623,50001,52502
Steve Pearce (R),NM02,40671,202408,302610
Ben R Lujan (D),NM03,47123,1001,1001
Martin Heinrich (D),NMS1,44968,0,0
Tom Udall (D),NMS2,44968,91527,91527
Dina Titus (D),NV01,39214,56438,57242
Mark Amodei (R),NV02,54056,5,5
Joe Heck (R),NV03,64006,1,1
Cresent Hardy (R),NV04,53292,17504,19506
Dean Heller (R),NVS1,52205,57729,110077
Harry Reid (D),NVS2,52205,476549,476549
Lee Zeldin (R),NY01,,0,5001
Pete King (R),NY02,87938,603,603
Steve Israel (D),NY03,101949,1,1
Kathleen Rice (D),NY04,93476,1,1
Gregory W Meeks (D),NY05,60767,0,0
Grace Meng (D),NY06,58255,51019,51019
Nydia M Velazquez (D),NY07,45383,0,15001
Hakeem Jeffries (D),NY08,44267,2,2
Yvette D Clarke (D),NY09,48097,1,1
Jerrold Nadler (D),NY10,76481,15004,15004
Carolyn B Maloney (D),NY12,89117,156008,1401018
Charles B Rangel (D),NY13,35963,49822,49822
Joseph Crowley (D),NY14,50913,1028,1028
Jose E Serrano (D),NY15,25248,1,1
Eliot L Engel (D),NY16,64332,169007,169007
Nita M Lowey (D),NY17,89534,777420,792421
Sean Patrick Maloney (D),NY18,77817,5203,5203
Chris Gibson (R),NY19,57218,201,201
Paul Tonko (D),NY20,60493,0,0
Elise Stefanik (R),NY21,50722,2,15003
Richard Hanna (R),NY22,48339,455332,502836
Tom Reed (R),NY23,47186,20004,20004
John Katko (R),NY24,52929,1,2502
Louise M Slaughter (D),NY25,51940,27413,27413
Brian M Higgins (D),NY26,44003,7,7
Chris Collins (R),NY27,59573,1432417,1527421
Kirsten Gillibrand (D),NYS1,58687,0,0
Charles E Schumer (D),NYS2,58687,1407,1407
Steve Chabot (R),OH01,52316,609,609
Brad Wenstrup (R),OH02,51045,52935,52935
Joyce Beatty (D),OH03,41227,1010322,1010322
Jim Jordan (R),OH04,47910,1008,1008
Robert E Latta (R),OH05,51981,62738,62738
Bill Johnson (R),OH06,42674,3811,3811
Bob Gibbs (R),OH07,48918,39841,46844
John Boehner (R),OH08,51540,79124,79124
Marcy Kaptur (D),OH09,40408,12,5013
Michael R Turner (R),OH10,46107,0,0
Marcia L Fudge (D),OH11,34155,0,0
Patrick J Tiberi (R),OH12,64926,6003,21004
Tim Ryan (D),OH13,41770,3507,8508
David P Joyce (R),OH14,60792,69866,69866
Steve Stivers (R),OH15,55612,10627,13130
Jim Renacci (R),OH16,60262,2146441,2491448
Sherrod Brown (D),OHS1,48849,2501,2501
Rob Portman (R),OHS2,48849,374107,691613
James Bridenstine (R),OK01,50045,0,0
Markwayne Mullin (R),OK02,39068,550613,650614
Frank D Lucas (R),OK03,47168,120207,120207
Tom Cole (R),OK04,50480,108361,108361
Steven Russell (R),OK05,45314,2704,2704
James Lankford (R),OKS1,46235,402,402
James M Inhofe (R),OKS2,46235,132428,242431
Suzanne Bonamici (D),OR01,62263,133240,133240
Greg Walden (R),OR02,43883,21415,21415
Earl Blumenauer (D),OR03,53122,90008,165013
Peter DeFazio (D),OR04,42844,8507,11008
Kurt Schrader (D),OR05,52975,155945,160946
Jeff Merkley (D),ORS1,50521,0,40004
Ron Wyden (D),ORS2,50521,1153920,2253922
Robert A Brady (D),PA01,40500,26004,26004
Chaka Fattah (D),PA02,36259,0,0
Mike Kelly (R),PA03,47101,460261,460261
Scott Perry (R),PA04,58102,2912,12914
Glenn Thompson (R),PA05,45930,0,5001
Ryan Costello (R),PA06,74527,0,20002
Patrick Meehan (R),PA07,79832,2417,2417
Michael G Fitzpatrick (R),PA08,77134,0,0
Bill Shuster (R),PA09,44956,5206,5206
Tom Marino (R),PA10,49508,5357,35359
Lou Barletta (R),PA11,51689,62759,112760
Keith J Rothfus (R),PA12,55926,114748,164749
Brendan Boyle (D),PA13,57084,0,53508
Mike Doyle (D),PA14,41245,0,15001
Charlie Dent (R),PA15,58230,627,627
Joe Pitts (R),PA16,54003,2,2
Matt Cartwright (D),PA17,48499,227797,227797
Tim Murphy (R),PA18,59866,813,813
Pat Toomey (R),PAS1,53115,38340,38340
Bob Casey (D),PAS2,53115,22009,22009
Pedro Pierluisi (D),PR00,19686,0,202
David Cicilline (D),RI01,52491,1,1002
Jim Langevin (D),RI02,60910,30418,130426
Sheldon Whitehouse (D),RIS1,56423,231576,231576
Jack Reed (D),RIS2,56423,19618,19618
Mark Sanford (R),SC01,58417,105206,147719
Joe Wilson (R),SC02,53520,0,50006
Jeff Duncan (R),SC03,41054,2,42413
Trey Gowdy (R),SC04,47227,5001,5001
Mick Mulvaney (R),SC05,44044,41046,44548
James E Clyburn (D),SC06,33794,51408,53909
Tom Rice (R),SC07,39551,50004,506013
Tim Scott (R),SCS1,45033,0,0
Lindsey Graham (R),SCS2,45033,10308,10308
Kristi Noem (R),SD01,50338,100001,105002
John Thune (R),SDS1,50338,10811,10811
Mike Rounds (R),SDS2,50338,624998,624998
Phil Roe (R),TN01,38290,322605,337606
John J Duncan Jr (R),TN02,45727,2215,2215
Chuck Fleischmann (R),TN03,42729,51457,51457
Scott Desjarlais (R),TN04,45833,3308,3308
Jim Cooper (D),TN05,47303,68328,233339
Diane Black (R),TN06,45542,1806991,3474703
Marsha Blackburn (R),TN07,49425,5007,5007
Steve Fincher (R),TN08,52374,100001,100001
Steve Cohen (D),TN09,37870,61094,61094
Bob Corker (R),TNS1,44621,200731,1200732
Lamar Alexander (R),TNS2,44621,295024,375027
Louis B Gohmert Jr (R),TX01,44622,0,0
Ted Poe (R),TX02,72253,3513,3513
Sam Johnson (R),TX03,85330,1003,1003
John Lee Ratcliffe (R),TX04,48232,202208,202208
Jeb Hensarling (R),TX05,45666,57006,57006
Joe Barton (R),TX06,60420,6404,6404
John Culberson (R),TX07,70324,65004,65004
Kevin Brady (R),TX08,61962,1812,1812
Al Green (D),TX09,42688,50607,75610
Michael McCaul (R),TX10,64741,9944058,9944058
Mike Conaway (R),TX11,49702,355512,355512
Kay Granger (R),TX12,59615,17502,47508
Mac Thornberry (R),TX13,47685,22512,22512
Randy Weber (R),TX14,53187,50003,60005
Ruben Hinojosa (D),TX15,40244,86739,136740
Beto O'Rourke (D),TX16,42445,75346,275348
Bill Flores (R),TX17,46158,109709,174711
Sheila Jackson Lee (D),TX18,41156,52007,54508
Randy Neugebauer (R),TX19,44837,312071,372077
Joaquin Castro (D),TX20,46971,0,0
Lamar Smith (R),TX21,60528,64959,214964
Pete Olson (R),TX22,86282,111938,111938
Will Hurd (R),TX23,48673,1608,1608
Kenny Marchant (R),TX24,63615,376643,476644
Roger Williams (R),TX25,61057,273617,378619
Michael Burgess (R),TX26,79600,30727,30727
Blake Farenthold (R),TX27,48669,281605,281606
Henry Cuellar (D),TX28,44118,65004,111011
Gene Green (D),TX29,38523,1,1
Eddie Bernice Johnson (D),TX30,42605,6002,6002
John Carter (R),TX31,62993,15003,15003
Pete Sessions (R),TX32,63466,132523,132523
Marc Veasey (D),TX33,35211,16002,16002
Filemon Vela (D),TX34,35323,1002,3503
Lloyd Doggett (D),TX35,40487,338655,408658
Brian Babin (R),TX36,53803,1002,1002
John Cornyn (R),TXS1,52576,101060,101060
Ted Cruz (R),TXS2,52576,59923,59923
Rob Bishop (R),UT01,60471,202,202
Chris Stewart (R),UT02,53611,100001,100001
Jason Chaffetz (R),UT03,63397,206,206
Mia Love (R),UT04,62038,9907,9907
Orrin G Hatch (R),UTS1,59846,91626,106652
Mike Lee (R),UTS2,59846,0,0
Rob Wittman (R),VA01,78089,4465,6467
Scott Rigell (R),VA02,61551,1153914,1617424
Bobby Scott (D),VA03,41534,29573,32074
Randy Forbes (R),VA04,62731,6,105008
Robert Hurt (R),VA05,48091,1210,1210
Bob Goodlatte (R),VA06,48650,47744,48946
Dave Brat (R),VA07,71870,0,0
Don Beyer (D),VA08,97691,326011,561017
Morgan Griffith (R),VA09,39142,10002,10002
Barbara Comstock (R),VA10,115154,405,405
Gerry Connolly (D),VA11,103885,12321,17322
Tim Kaine (D),VAS1,64792,24223,24223
Mark Warner (D),VAS2,64792,5772742,5772742
Stacey Plaskett (D),VI00,,0,0
Peter Welch (D),VT01,54447,90492,105493
Bernie Sanders (I),VTS1,54447,0,0
Patrick Leahy (D),VTS2,54447,1202,1202
Suzan DelBene (D),WA01,81105,1700180,1700180
Rick Larsen (D),WA02,58617,405,405
Jaime Herrera Beutler (R),WA03,53775,1,1
Dan Newhouse (R),WA04,49854,50001,50001
Cathy McMorris Rodgers (R),WA05,47664,9707,27209
Derek Kilmer (D),WA06,54903,2,2
Jim McDermott (D),WA07,68839,51941,51941
Dave Reichert (R),WA08,72783,0,0
Adam Smith (D),WA09,64945,606,606
Dennis Heck (D),WA10,58119,112351,143354
Maria Cantwell (D),WAS1,60294,2404,2404
Patty Murray (D),WAS2,60294,36313,36313
Paul Ryan (R),WI01,59203,217359,218361
Mark Pocan (D),WI02,58403,15001,15001
Ron Kind (D),WI03,49210,27819,52822
Gwen Moore (D),WI04,38757,5001,5001
F James Sensenbrenner Jr (R),WI05,63496,255242,255242
Glenn S Grothman (R),WI06,53705,206,206
Sean P Duffy (R),WI07,48471,0,0
Reid Ribble (R),WI08,53912,5418,105419
Tammy Baldwin (D),WIS1,52738,5001,5001
Ron Johnson (R),WIS2,52738,20404,125056
David McKinley (R),WV01,41703,58741,74743
Alex Mooney (R),WV02,45889,0,0
Evan Jenkins (R),WV03,36853,202,203
Joe Manchin (D),WVS1,41576,532414,547415
Shelley Moore Capito (R),WVS2,41576,38834,49037
Cynthia Marie Lummis (R),WY01,58252,30006,30006
John A Barrasso (R),WYS1,58252,62331,62331
Mike Enzi (R),WYS2,58252,5218,5218
